custom_id,original_label,original_prediction,claim_extraction_gpt-5-nano_prediction,claim_extraction_gpt-5_prediction,claim_normalization_gpt-5-nano_prediction,claim_normalization_gpt-5_prediction,original_text
faketweetbr_test_35,fake,fake,fake,true,fake,fake,Governo DILMA / TEMER pagou R$ 73 milhões a salão de beleza no agreste de Pernambuco https://www. ricardoantunes.com.br/noticias/2297/ governo-pagou-r-73-milhoes-a-salao-de-beleza-no-agreste-de-pernambuco …
faketweetbr_test_36,fake,fake,fake,fake,fake,fake,"Parabéns Presidente Jair!! Israel doou 15 helicópteros AH-64 !Quero ver os bandidos das favelas derrubarem esse avião. Ele retalha na hora a origem do tiro. Só canhão de artilharia o derruba , mas é mto difícil devido a velocidade. Se quiser viver vai ter que mudar de profissão. pic.twitter.com/Xrm4cwZcca"
faketweetbr_test_37,fake,fake,fake,fake,fake,fake,"Segundo a revista americana Forbes , o Lula tem um patrimônio de 2 bilhões de dólares. Nem sei quanto é isso em dinheiro! Rsrsrs."
faketweetbr_test_38,fake,fake,fake,fake,fake,fake,"Tropa de elite 3 em breve no rio de janeiro, o exército de Israel faz doação de helicópteros pra ajudar no policiamento ostensivo! pic.twitter.com/ngemIAhErV"
faketweetbr_test_39,fake,fake,fake,fake,fake,fake,"dicas de saúde: conheça o aranto , que é a planta que cura cancer"
faketweetbr_test_40,true,true,true,true,true,true,É falso que Dilma gastou R$ 73 milhões em salão de beleza . Leia mais em: http:// bit.ly/2P0tFZ4 via Aos Fatos | Em busca da verdade na política. #fakenão #fakenews #FactCheck #CheckBR #SerMultimidia
faketweetbr_test_41,fake,fake,true,fake,fake,fake,"Gente, houve um repasse da conta de Jean Wyllys para a conta de Adélio Bispo de R$ 50.000,00. Uma semana antes do atentado, Adélio estava no gabinete de Maria do Rosário. Os mandantes foram Jean Wyllys é Maria do Rosário."
faketweetbr_test_42,true,true,true,true,true,true,"Circula nas redes sociais uma foto da capa da revista Time com o presidente eleito Jair Bolsonaro como personalidade do ano. A imagem é #FAKE . A  Time "" escolheu os jornalistas mortos e presos como ""Pessoa do Ano"" de 2018. - É. Parece que a campanha eleitoral continua..."""
faketweetbr_test_43,fake,true,fake,fake,true,fake,"Esclarecendo para muitos que não entenderam o motivo do comercial do Banco do Brasil ser vetado por Bolsonaro . O problema não era o tema e sim que um vídeo de 17 segundos iria custar r$ 17 milhões, dinheiro público! Acho que não é necessário... https:// mblnews.org/noticia/bolson aro-responde-e-burger-king-sofre-boicote-nas-redes-sociais/ …"
faketweetbr_test_44,true,true,fake,true,true,fake,"Instituto Nise da Silveira será fechado pelo prefeito do Rio de Janeiro, Marcelo Crivella? Na verdade, NÃO É BEM ASSIM! Entenda lendo este artigo de checagem de fatos: https://www. boatos.org/brasil/institu to-nise-silveira-fechado.html … #SaúdePúblicaÉCoisaSéria pic.twitter.com/si38JGcG1P"
faketweetbr_test_45,fake,fake,true,fake,fake,fake,"Marcelo Tas que defendeu o prefeito de Nova York (acusado por estupro , corrupção e lavagem de dinheiro) vai dizer o quê?"
